Borrower_ID,Age,Gender,Employment_Type,Monthly_Income,Num_Dependents,Loan_ID,Loan_Amount,Loan_Tenure,Interest_Rate,Loan_Type,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Payment_History,Num_Missed_Payments,Days_Past_Due,Recovery_Status,Collection_Attempts,Collection_Method,Legal_Action_Taken
BRW_1,59,Male,Salaried,215422,0,LN_1,1445796,60,12.39,Home,1727997.257896650,291413.005791598,4856.88,On-Time,0,0,Partially Recovered,1,Settlement Offer,No
BRW_2,49,Female,Salaried,60893,0,LN_2,1044620,12,13.47,Auto,1180032.3616897500,665204.1539129510,55433.68,On-Time,0,0,Fully Recovered,2,Settlement Offer,No
BRW_3,35,Male,Salaried,116520,1,LN_3,1923410,72,7.74,Home,2622539.93058324,1031371.9973934200,14324.61,Delayed,2,124,Fully Recovered,2,Legal Notice,No
BRW_4,63,Female,Salaried,140818,2,LN_4,1811663,36,12.23,Home,1145492.680105320,224973.92125700900,6249.28,On-Time,1,56,Fully Recovered,2,Calls,No
BRW_5,28,Male,Salaried,76272,1,LN_5,88578,48,16.13,Personal,0.0,39189.892007881900,816.46,On-Time,1,69,Fully Recovered,0,Debt Collectors,No
BRW_6,41,Male,Salaried,238224,3,LN_6,664741,36,15.86,Auto,982214.6278297240,129965.52504238300,3610.15,On-Time,1,111,Partially Recovered,6,Legal Notice,No
BRW_7,59,Female,Self-Employed,82649,1,LN_7,1514110,60,17.06,Home,1639218.859256180,875490.423272566,14591.51,On-Time,0,0,Partially Recovered,8,Debt Collectors,No
BRW_8,39,Male,Salaried,79674,0,LN_8,912147,12,9.76,Personal,0.0,416121.3808523010,34676.78,Delayed,0,0,Fully Recovered,0,Settlement Offer,No
BRW_9,43,Male,Self-Employed,159832,3,LN_9,258859,72,9.13,Home,387116.943602344,168733.8015005950,2343.53,On-Time,3,124,Fully Recovered,3,Settlement Offer,No
BRW_10,31,Male,Self-Employed,167999,0,LN_10,161435,60,14.74,Personal,0.0,133190.65476845600,2219.84,Delayed,0,0,Partially Recovered,6,Legal Notice,No
BRW_11,31,Male,Business Owner,101475,2,LN_11,790389,24,10.6,Auto,1115645.7126623800,292208.24821751300,12175.34,On-Time,0,0,Fully Recovered,0,Calls,No
BRW_12,44,Female,Self-Employed,76367,0,LN_12,1250114,60,6.14,Home,901978.8431104030,1207474.9788615400,20124.58,On-Time,0,0,Fully Recovered,1,Settlement Offer,No
BRW_13,56,Male,Self-Employed,244027,0,LN_13,1980750,60,8.68,Business,1101617.9011159900,1152937.2333349500,19215.62,Delayed,1,7,Written Off,8,Debt Collectors,No
BRW_14,60,Male,Business Owner,158660,1,LN_14,95475,48,10.44,Personal,0.0,62675.68261000200,1305.74,Missed,3,99,Fully Recovered,2,Debt Collectors,No
BRW_15,44,Male,Business Owner,136750,0,LN_15,896574,36,8.8,Auto,677486.3648804820,638903.2371172430,17747.31,Delayed,0,0,Written Off,9,Legal Notice,No
